卷九十六 张丞相列传第三十六
91. 韦丞相去世后，匡衡代替，匡衡是东海人，喜欢读书跟从博士学习《诗经》
92. 匡衡家庭贫困，靠帮人做工供给衣食，多次应试不中，第九次考中丙科
93. 匡衡被补任为平原郡文学卒史，几年后郡人并不尊敬他，后被征调为郎官
94. 匡衡被委任为博士，升为太子少傅侍奉孝元帝，元帝爱好《诗经》提升他为光禄勋
95. 御史大夫郑弘因事获罪被免官，匡衡升为御史大夫，一年多后韦丞相去世
96. 匡衡代替韦丞相担任丞相，被封为乐安侯，不足十年间没走出长安城门就升到丞相，后因专地盗土被免为庶人
97. 太史公评论读书人从做小官能被封侯的很少，很多人做到御史大夫就离职了
98. 御史大夫身居丞相候补职位，心中都盼着丞相死去，有的甚至诽谤陷害想取代
99. 郑弘当了好多年御史大夫也没有升任丞相，匡衡在御史大夫职位未满一年就得到
100. 太史公认为这真是命啊，多有圣贤才能的人身处困境得不到这个职位，而平庸之辈却能侥幸占据要职

简化版事件：
1. 张苍从秦朝御史起家，跟随高祖征战立功，官至丞相，精通音律历法，制定汉代历法基础
2. 周昌兄弟从卒史起家，周苛为汉死节，周昌以刚直敢言著称，保护太子，辅佐赵王
3. 任敖从狱吏起家，因保护吕后受重用，官至御史大夫
4. 申屠嘉从材官起家，官至丞相，以清廉正直著称，惩治邓通，与晁错争斗而死
5. 汉代多位丞相如韦贤、魏相、邴吉、黄霸、匡衡等，多由读书起家，各有特色
6. 太史公感叹丞相职位多由命运决定，才能未必是决定因素

极简版事件：
1. 张苍：制定音律历法，任丞相
2. 周昌：刚直敢言，保护太子
3. 申屠嘉：清廉正直，惩邓通
4. 汉代丞相：多由读书起家
5. 太史公：丞相职位由命定

绘图提示词：
周昌争谏太子：描绘周昌在汉高祖面前争谏保护太子的场景。周昌身材魁梧，表情激动，因口吃而面红耳赤，手指高祖，口中说着"期期不能奉命"。高祖坐在皇位上，表情既恼怒又好笑。吕后在东厢房偷听，表情紧张感激。周围大臣们屏息凝神，气氛庄严肃穆。画面应体现周昌的刚直不阿和忠心护主的品格。
