《三国演义》第五十三回事件列表

回目：关云长义释黄汉升　孙仲谋大战张文远
52. 韩玄恐黄忠有失鸣金收军，黄忠收军入城
53. 云长也退军离城十里下寨心中暗忖老将黄忠名不虚传
54. 云长想斗一百合全无破绽来日必用拖刀计背砍赢之
55. 次日早饭毕又来城下搦战，韩玄坐在城上教黄忠出马
56. 忠引数百骑杀过吊桥再与云长交马
57. 又斗五六十合胜负不分两军齐声喝采
58. 鼓声正急时云长拨马便走，黄忠赶来
59. 云长方欲用刀砍去忽听得脑后一声响
60. 云长急回头看时见黄忠被战马前失掀在地下
61. 云长急回马双手举刀猛喝说我且饶你性命
62. 云长说快换马来厮杀，黄忠急提起马蹄飞身上马
63. 黄忠弃入城中，玄惊问之忠说此马久不上阵故有此失
64. 玄说汝箭百发百中何不射之，忠说来日再战必然诈败
65. 忠说诱到吊桥边射之，玄以自己所乘一匹青马与黄忠
66. 忠拜谢而退寻思难得云长如此义气
67. 忠想他不忍杀害我我又安忍射他
68. 忠想若不射又恐违了将令是夜踌躇未定
69. 次日天晓人报云长搦战，忠领兵出城
70. 云长两日战黄忠不下十分焦躁抖擞威风与忠交马
71. 战不到三十余合忠诈败云长赶来
72. 忠想昨日不杀之恩不忍便射带住刀把弓虚拽弦响
73. 云长急闪却不见箭，云长又赶忠又虚拽
74. 云长急闪又无箭只道黄忠不会射放心赶来
75. 将近吊桥黄忠在桥上搭箭开弓弦响箭到
76. 箭正射在云长盔缨根上，前面军齐声喊起
77. 云长吃了一惊带箭回寨方知黄忠有百步穿杨之能
78. 云长知今日只射盔缨正是报昨日不杀之恩也
79. 云长领兵而退，黄忠回到城上来见韩玄
80. 玄便喝左右捉下黄忠，忠叫无罪
81. 玄大怒说我看了三日汝敢欺我
82. 玄说汝前日不力战必有私心昨日马失他不杀汝必有关通
83. 玄说今日两番虚拽弓弦第三箭却止射他盔缨
84. 玄说如何不是外通内连若不斩汝必为后患
85. 玄喝令刀斧手推下城门外斩之，众将欲告
86. 玄说但告免黄忠者便是同情，刚推到门外恰欲举刀
87. 忽然一将挥刀杀入砍死刀手救起黄忠
88. 此将大叫说黄汉升乃长沙之保障今杀汉升是杀长沙百姓也
89. 此将说韩玄残暴不仁轻贤慢士当众共殛之
90. 此将说愿随我者便来，众视其人面如重枣目若朗星
91. 此人乃义阳人魏延也自襄阳赶刘玄德不着来投韩玄
92. 玄怪其傲慢少礼不肯重用故屈沉于此
93. 当日救下黄忠教百姓同杀韩玄袒臂一呼
94. 相从者数百余人，黄忠拦当不住
95. 魏延直杀上城头一刀砍韩玄为两段提头上马
96. 魏延引百姓出城投拜云长，云长大喜遂入城
97. 安抚已毕请黄忠相见忠托病不出
98. 云长即使人去请玄德、孔明
99. 玄德自云长来取长沙与孔明随后催促人马接应
100. 正行间青旗倒卷一鸦自北南飞连叫三声而去
101. 玄德说此应何祸福，孔明就马上袖占一课
102. 孔明说长沙郡已得又主得大将午时后定见分晓
103. 少顷见一小校飞报前来说关将军已得长沙郡
104. 小校说降将黄忠、魏延耑等主公到彼
105. 玄德大喜遂入长沙，云长接入厅上具言黄忠之事
106. 玄德乃亲往黄忠家相请忠方出降
107. 忠求葬韩玄尸首于长沙之东，后人有诗赞黄忠
108. 玄德待黄忠甚厚，云长引魏延来见
109. 孔明喝令刀斧手推下斩之，玄德惊问孔明
110. 玄德说魏延乃有功无罪之人军师何故欲杀之
111. 孔明说食其禄而杀其主是不忠也居其土而献其地是不义也
112. 孔明说吾观魏延脑后有反骨久后必反故先斩之以绝祸根
113. 玄德说若斩此人恐降者人人自危望军师恕之
114. 孔明指魏延说吾今饶汝性命汝可尽忠报主勿生异心
115. 孔明说若生异心我好歹取汝首级
116. 魏延喏喏连声而退，黄忠荐刘表侄刘磐现在攸县闲居
117. 玄德取回教掌长沙郡，四郡已平玄德班师回荆州
118. 玄德改油江口为公安，自此钱粮广盛贤士归之
119. 将军马四散屯于隘口，周瑜自回柴桑养病
120. 周瑜令甘宁守巴陵郡令凌统守汉阳郡二处分布战船听候调遣

---

## 简要事件列表（8条）

1. **张飞取武陵**：张飞立军令状取武陵，金旋不听劝谏出战被杀，巩志献城
2. **关羽请战**：关羽闻长沙未取，主动请战，只带五百校刀手前往
3. **黄忠出战**：韩玄派黄忠迎战，关羽与黄忠大战百余合不分胜负
4. **马失义释**：次日再战，黄忠马失被擒，关羽义释之
5. **射缨报恩**：黄忠为报不杀之恩，只射关羽盔缨，韩玄疑其通敌欲斩
6. **魏延救黄**：魏延救黄忠，杀韩玄献长沙，百姓响应
7. **孔明识人**：孔明欲斩魏延称其有反骨，玄德求情饶恕
8. **四郡已平**：玄德得四郡，班师回荆州，改油江口为公安

---

## 极简事件列表（7条）

1. **取武陵**：张飞立军令状取武陵，金旋被杀，巩志投降
2. **战长沙**：关羽轻敌只带五百人攻长沙，与黄忠大战
3. **义释黄忠**：黄忠马失被擒，关羽义释，黄忠射缨报恩
4. **魏延杀主**：韩玄欲斩黄忠，魏延救黄忠杀韩玄献城
5. **孔明识骨**：孔明识魏延有反骨欲斩，玄德求情饶恕
6. **四郡归附**：玄德得长沙、武陵、桂阳、零陵四郡
7. **回荆州**：玄德班师回荆州，改油江口为公安，根基渐固
