《三国演义》第六十五回事件列表
回目：马超大战葭萌关　刘备自领益州牧
52. 魏延与杨柏交战不十合，杨柏败走
53. 魏延要夺张飞头功，乘势赶去
54. 前面一军摆开，为首乃是马岱
55. 魏延只道是马超，舞刀跃马迎之
56. 魏延与马岱战不十合，马岱败走
57. 魏延赶去，被马岱回身一箭中左臂
58. 魏延急回马走，马岱赶到关前
59. 张飞从关上飞奔至面前，救了魏延
60. 张飞喝问马岱姓名，马岱说乃西凉马岱
61. 张飞说你原来不是马超，快回去非吾对手
62. 张飞说只令马超那厮自来，说道燕人张飞在此
63. 马岱大怒说你焉敢小觑我，挺枪跃马直取张飞
64. 战不十合，马岱败走，张飞欲待追赶
65. 关上一骑马到来叫兄弟且休去
66. 张飞回视是玄德到来，遂不赶一同上关
67. 玄德说恐怕你性躁，故随后赶到
68. 玄德说既然胜了马岱，且歇一宵来日战马超
69. 次日天明，关下鼓声大震，马超兵到
70. 玄德在关上看，马超纵骑持枪而出
71. 马超狮盔兽带，银甲白袍，结束非凡人才出众
72. 玄德叹曰人言锦马超，名不虚传
73. 张飞便要下关，玄德急止之且休出战
74. 玄德说先当避其锐气，马超单搦张飞出马
75. 张飞恨不得平吞马超，三五番皆被玄德当住
76. 看看午后，玄德望见马超阵上人马皆倦
77. 玄德选五百骑跟着张飞，冲下关来
78. 马超见张飞军到，把枪望后一招约退军
79. 张飞军马一齐扎住，关上军马陆续下来
80. 张飞挺枪出马，大呼认得燕人张翼德么
81. 马超说吾家屡世公侯，岂识村野匹夫
82. 张飞大怒，两马齐出，二枪并举
83. 约战百余合，不分胜负，玄德叹曰真虎将也
84. 玄德恐张飞有失，急鸣金收军，两将各回
85. 张飞回到阵中，略歇马片时不用头盔
86. 张飞只裹包巾上马，又出阵前搦马超厮杀
87. 马超又出，两个再战，玄德恐张飞有失
88. 玄德自披挂下关，直至阵前看张飞与马超又斗
89. 两个又斗百余合，精神倍加，玄德教鸣金收军
90. 是日天色已晚，玄德说马超英勇不可轻敌
91. 张飞杀得性起，大叫誓死不回
92. 张飞说多点火把，安排夜战
93. 马超亦换了马，再出阵前大叫张飞敢夜战么
94. 张飞性起，问玄德换了坐下马，抢出阵来
95. 张飞说我捉你不得，誓不上关
96. 马超说我胜你不得，誓不回寨
97. 两军呐喊，点起千百火把，照耀如同白日
98. 两将又向阵前鏖战，到二十余合
99. 马超拨回马便走，张飞大叫走那里去
100. 马超见赢不得张飞，心生一计诈败佯输
101. 马超暗掣铜锤在手，扭回身觑着张飞便打
102. 张飞见马超走，心中提防，一闪从耳朵边过去
103. 张飞便勒回马走时，马超却又赶来
104. 张飞带住马，拈弓搭箭，回射马超，马超闪过
105. 二将各自回阵，玄德自于阵前叫
106. 玄德说吾以仁义待人，不施谲诈
107. 玄德说马孟起你收兵歇息，我不乘势赶你
108. 马超闻言，亲自断后，诸军渐退
109. 玄德亦收军上关，次日张飞又欲下关战马超
110. 人报军师来到，玄德接着孔明
111. 孔明说闻孟起世之虎将，若与翼德死战必有一伤
112. 孔明令子龙、汉升守住绵竹，自己星夜来此
113. 孔明说可用条小计，令马超归降主公
114. 玄德说见马超英勇甚爱之，如何可得
115. 孔明说闻东川张鲁欲自立为汉宁王
116. 孔明说手下谋士杨松极贪贿赂
117. 孔明说主公可差人从小路投汉中，先用金银结好杨松
118. 孔明说后进书与张鲁，云与刘璋争西川是为报仇
119. 孔明说事定之后保汝为汉宁王，令其撤回马超兵
120. 玄德大喜，即时修书差孙乾赍金珠从小路至汉中

【简要事件列表（8条）】
1. 马超请战攻葭萌关，张鲁点兵二万遣之
2. 孔明智取绵竹，李严费观投降
3. 张飞激战马超，葭萌关前昼夜鏖兵
4. 孔明定计离间，杨松贪财受赂
5. 李恢说降马超，马超斩杨柏归顺
6. 马超兵临成都，刘璋惊惧欲降
7. 简雍入城说降，刘璋献印绶文籍
8. 玄德自领益州牧，分封文武百官

【极简事件列表（7条）】
1. 马超为张鲁攻葭萌关，与张飞激战
2. 孔明智取绵竹，李严费观归降
3. 张飞马超昼夜大战，难分胜负
4. 孔明用计离间，杨松贪财受赂
5. 李恢巧言说降，马超斩杨柏投刘
6. 马超兵临成都，刘璋开城投降
7. 玄德得西川，自领益州牧分封百官

【人物亮点分析】
1. 张飞勇猛：与马超昼夜大战，展现武艺高强
2. 马超英勇：锦马超名不虚传，武艺超群
3. 孔明智谋：离间计、说降计，步步为营
4. 李恢辩才：巧言说降马超，展现口才
5. 玄德仁德：不忍杀张任，厚待降将
6. 刘璋昏弱：不听良策，最终投降

【经典场面】
1. 张飞战马超：葭萌关前昼夜大战，难分胜负
2. 李恢说马超：巧言辩理，说服马超归降
3. 刘璋献降：开城投降，献出印绶文籍
4. 玄德分封：自领益州牧，重赏文武百官

【情节转折】
1. 马超归降：从敌将变为刘备大将
2. 西川平定：刘备得四十一州，势力大增
3. 刘璋失势：从益州牧变为阶下囚
4. 孙权觊觎：东吴欲索荆州，埋下冲突种子
