《三国演义》第四十九回事件列表

回目：七星坛诸葛祭风　三江口周瑜纵火
54. 众皆领命，孔明缓步登坛
55. 孔明观瞻方位已定，焚香于炉，注水于盂，仰天暗祝
56. 孔明下坛入帐中少歇，令军士更替吃饭
57. 孔明一日上坛三次，下坛三次，却并不见有东南风
58. 周瑜请程普、鲁肃一班军官在帐中伺候
59. 周瑜只等东南风起便调兵出，一面关报孙权接应
60. 黄盖已自准备火船二十只，船头密布大钉
61. 船内装载芦苇干柴，灌以鱼油，上铺硫黄、焰硝引火之物
62. 各用青布油单遮盖，船头上插青龙牙旗
63. 船尾各系走舸，在帐下听候，只等周瑜号令
64. 甘宁、阚泽窝盘蔡和、蔡中在水寨中，每日饮酒
65. 不放一卒登岸，周围尽是东吴军马，把得水泄不通
66. 周瑜正在帐中坐议，探子来报吴侯船只离寨八十五里停泊
67. 周瑜即差鲁肃遍告各部下官兵将士收拾船只、军器等物
68. 号令一出时刻休违，倘有违误即按军法
69. 众兵将得令，一个个磨拳擦掌，准备厮杀
70. 是日看看近夜，天色清明，微风不动
71. 周瑜对鲁肃说孔明之言谬矣，隆冬之时怎得东南风乎
72. 鲁肃说吾料孔明必不谬谈
73. 将近三更时分，忽听风声响，旗幡转动
74. 周瑜出帐看时，旗脚竟飘西北
75. 霎时间东南风大起，周瑜骇然
76. 周瑜说此人有夺天地造化之法、鬼神不测之术
77. 周瑜说若留此人乃东吴祸根也，及早杀却免生他日之忧
78. 周瑜急唤帐前护军校尉丁奉、徐盛二将
79. 周令各带一百人，徐盛从江内去，丁奉从旱路去
80. 都到南屏山七星坛前，休问长短，拿住诸葛亮便行斩首
81. 二将领命，徐盛下船，一百刀斧手荡开棹桨
82. 丁奉上马，一百弓弩手各跨征驹，往南屏山来
83. 于路正迎着东南风起
84. 丁奉马军先到，见坛上执旗将士当风而立
85. 丁奉下马提剑上坛，不见孔明，慌问守坛将士
86. 答说恰才下坛去了，丁奉忙下坛寻时
87. 徐盛船已到，二人聚于江边
88. 小卒报说昨晚一只快船停在前面滩口
89. 适间却见孔明披发下船，那船望上水去了
90. 丁奉、徐盛便分水陆两路追袭
91. 徐盛教拽起满帆，抢风而使，遥望前船不远
92. 徐盛在船头上高声大叫军师休去，都督有请
93. 只见孔明立于船尾大笑说上覆都督好好用兵
94. 孔明说诸葛亮暂回夏口，异日再容相见
95. 徐盛说请暂少住，有紧话说
96. 孔明说吾已料定都督不能容我，必来加害
97. 孔明说预先教赵子龙来相接，将军不必追赶
98. 徐盛见前船无篷，只顾赶来
99. 看看至近，赵云拈弓搭箭，立于船尾大叫
100. 赵云说吾乃常山赵子龙也，奉令特来接军师
101. 赵云说你如何来追赶，本待一箭射死你来
102. 赵云说显得两家失了和气，教你知我手段
103. 言讫箭到处，射断徐盛船上篷索
104. 那篷堕落下水，其船便横
105. 赵云却教自己船上拽起满帆，乘顺风而去
106. 其船如飞，追之不及
107. 岸上丁奉唤徐盛船近岸，说诸葛亮神机妙算人不可及
108. 丁奉说更兼赵云有万夫不当之勇，汝知他当阳长坂时否
109. 丁奉说吾等只索回报便了
110. 于是二人回见周瑜，言孔明预先约赵云迎接去了
111. 周瑜大说此人如此多谋，使我晓夜不安矣
112. 鲁肃说且待破曹之后，却再图之
113. 周瑜从其言，唤集诸将听令
114. 先教甘宁带蔡中并降卒沿南岸而走，只打北军旗号
115. 甘宁直取乌林地面，正当曹操屯粮之所，深入军中举火为号
116. 只留下蔡和一人在帐下，周瑜说有用处
117. 第二唤太史慈分付领三千兵直奔黄州地界
118. 太史慈断曹操合淝接应之兵，就逼曹兵放火为号
119. 只看红旗，便是吴侯接应兵到，这两队兵最远先发
120. 第三唤吕蒙领三千兵去乌林接应甘宁，焚烧曹操寨栅

---

## 简要事件列表（8条）

1. **诸葛亮医病**：诸葛亮识破周瑜心病，密书"万事俱备，只欠东风"，并答应借东风
2. **筑坛祭风**：诸葛亮在南屏山筑七星坛，作法借三日三夜东南大风
3. **东南风起**：三更时分东南风大起，周瑜惊服诸葛亮神术，欲杀之除后患
4. **诸葛亮脱身**：丁奉、徐盛奉命追杀诸葛亮，诸葛亮早有准备，赵云接应脱身
5. **周瑜调兵**：周瑜分派六路兵马，甘宁取乌林，太史慈断合淝，吕蒙接应等
6. **刘备部署**：诸葛亮回到夏口，分派赵云、张飞、关羽等各路埋伏
7. **关羽华容道**：诸葛亮料定关羽会放走曹操，令其立军令状守华容道
8. **黄盖诈降**：黄盖率火船诈降，程昱识破计谋但为时已晚，火攻开始

---

## 极简事件列表（7条）

1. **识破心病**：诸葛亮识破周瑜缺东风心病，答应借风
2. **筑坛借风**：南屏山筑七星坛，诸葛亮作法借东南风
3. **风起追杀**：东南风起，周瑜派丁奉、徐盛追杀诸葛亮
4. **孔明脱身**：赵云接应，诸葛亮成功脱身
5. **分兵布阵**：周瑜分六路兵马，诸葛亮分派刘备军埋伏
6. **关羽守关**：诸葛亮令关羽立军令状守华容道
7. **火攻开始**：黄盖率火船诈降，赤壁之战打响
