《三国演义》第五十回事件列表

回目：诸葛亮智算华容　关云长义释曹操
56. 天色微明，黑云罩地，东南风尚不息
57. 忽然大雨倾盆，湿透衣甲，操与军士冒雨而行
58. 诸军皆有饥色，操令军士往村落中劫掠粮食，寻觅火种
59. 方欲造饭，后面一军赶到，操心甚慌
60. 原来却是李典、许褚保护着众谋士来到，操大喜
61. 操令军马且行，问前面是那里地面
62. 人报一边是南彝陵大路，一边是北彝陵山路
63. 操问那里投南郡江陵去近，军士禀说取南彝陵过葫芦口去最便
64. 操教走南彝陵，行至葫芦口，军皆饥馁，行走不上
65. 马亦困乏，多有倒于路者，操教前面暂歇
66. 马上有带得锣锅的，也有村中掠得粮米的
67. 便就山边拣干处埋锅造饭，割马肉烧吃
68. 尽皆脱去湿衣，于风头吹晒，马皆摘鞍野放，咽咬草根
69. 操坐于疏林之下，仰面大笑
70. 众官问适来丞相笑周瑜、诸葛亮，引惹出赵子龙来
71. 众官说又折了许多人马，如今为何又笑
72. 操说吾笑诸葛亮、周瑜毕竟智谋不足
73. 操说若是我用兵时，就这个去处，也埋伏一彪军马
74. 操说以逸待劳，我等纵然脱得性命，也不免重伤矣
75. 操说彼见不到此，我是以笑之
76. 正说间，前军后军一齐发喊，操大惊，弃甲上马
77. 众军多有不及收马者，早见四下火烟布合
78. 山口一军摆开，为首乃燕人张翼德，横矛立马
79. 张飞大叫操贼走那里去，诸军众将见了张飞，尽皆胆寒
80. 许褚骑无鞍马来战张飞，张辽、徐晃二将纵马也来夹攻
81. 两边军马混战做一团，操先拨马走脱，诸将各自脱身
82. 张飞从后赶来，操迤逦奔逃，追兵渐远
83. 回顾众将多已带伤，正行时军士禀说前面有两条路
84. 请问丞相从那条路去，操问那条路近
85. 军士说大路稍平，却远五十余里
86. 小路投华容道，却近五十余里，只是地窄路险，坑坎难行
87. 操令人上山观望，回报小路山边有数处烟起
88. 大路并无动静，操教前军便走华容道小路
89. 诸将说烽烟起处，必有军马，何故反走这条路
90. 操说岂不闻兵书有云：虚则实之，实则虚之
91. 操说诸葛亮多谋，故使人于山僻烧烟，使我军不敢从这条山路走
92. 操说他却伏兵于大路等着，吾料已定，偏不教中他计
93. 诸将皆曰丞相妙算，人不可及，遂勒兵走华容道
94. 此时人皆饥倒，马尽困乏，焦头烂额者扶策而行
95. 中箭着枪者勉强而走，衣甲湿透，个个不全
96. 军器旗幡，纷纷不整，大半皆是彝陵道上被赶得慌
97. 只骑得秃马，鞍辔衣服，尽皆抛弃
98. 正值隆冬严寒之时，其苦何可胜言
99. 操见前军停马不进，问是何故
100. 回报前面山僻路小，因早晨下雨，坑堑内积水不流
101. 泥陷马蹄，不能前进，操大怒叱曰
102. 操说军旅逢山开路，遇水叠桥，岂有泥泞不堪行之理
103. 传下号令，教老弱中伤军士在后慢行
104. 强壮者担土束柴，搬草运芦，填塞道路
105. 务要即时行动，如违令者斩，众军只得都下马
106. 就路旁砍伐竹木，填塞山路，操恐后军来赶
107. 令张辽、许褚、徐晃引百骑执刀在手，但迟慢者便斩之
108. 此时军已饿乏，众皆倒地，操喝令人马践踏而行
109. 死者不可胜数，号哭之声于路不绝
110. 操怒曰生死有命，何哭之有，如再哭者立斩
111. 三停人马：一停落后，一停填了沟壑，一停跟随曹操
112. 过了险峻，路稍平坦，操回顾止有三百余骑随后
113. 并无衣甲袍铠整齐者，操催速行
114. 众将说马尽乏矣，只好少歇，操说赶到荆州将息未迟
115. 又行不到数里，操在马上扬鞭大笑
116. 众将问丞相何又大笑，操说人皆言周瑜、诸葛亮足智多谋
117. 操说以吾观之，到底是无能之辈
118. 操说若使此处伏一旅之师，吾等皆束手受缚矣
119. 言未毕，一声炮响，两边五百校刀手摆开
120. 为首大将关云长，提青龙刀，跨赤兔马，截住去路

---

## 简要事件列表（8条）

1. **黄盖脱险**：张辽射中黄盖救曹操，韩当救起黄盖，黄盖深知水性逃得性命
2. **曹军大败**：东吴各路军马四面夹击，曹军死伤无数，曹操狼狈逃窜
3. **赵云截击**：曹操大笑周瑜无谋，赵云杀出，曹操冒烟突火而逃
4. **张飞埋伏**：曹操至葫芦口造饭，张飞杀出，混战中曹操再次逃脱
5. **华容道选择**：曹操识破诸葛亮虚实之计，选择走华容道小路
6. **关羽拦截**：曹操再笑诸葛亮无能，关羽率五百校刀手截住去路
7. **义释曹操**：程昱建议曹操以旧情求关羽，关羽念恩义放走曹操
8. **曹操脱险**：曹操仅剩二十七骑逃至南郡，哭郭嘉不用，留计守南郡

---

## 极简事件列表（7条）

1. **火攻大胜**：赤壁火攻成功，曹军大败，曹操狼狈逃窜
2. **赵云截杀**：曹操逃至乌林，赵云埋伏截击，曹操逃脱
3. **张飞断后**：葫芦口张飞埋伏，混战中曹操再次逃脱
4. **华容道困**：曹操选择华容道，陷入泥泞困境
5. **关羽挡路**：关羽率军截住华容道，曹操陷入绝境
6. **义释曹操**：关羽念旧情，义释曹操
7. **哭郭嘉**：曹操逃至南郡，哭郭嘉不用，留计防守
