《三国演义》第五十二回事件列表

回目：诸葛亮智辞鲁肃　赵子龙计取桂阳
44. 玄德遂命请之，马良至，玄德优礼相待请问保守荆襄之策
45. 良说荆襄四面受敌之地恐不可久守，可令公子刘琦于此养病
46. 良说招谕旧人以守之，就表奏公子为荆州刺史以安民心
47. 良说然后南征武陵、长沙、桂阳、零陵四郡积收钱粮以为根本
48. 良说此久远之计也，玄德大喜遂问四郡当先取何郡
49. 良说湘江之西零陵最近可先取之，次取武陵
50. 良说然后湘江之东取桂阳，长沙为后
51. 玄德遂用马良为从事，伊籍副之
52. 玄德请孔明商议送刘琦回襄阳替云长回荆州
53. 玄德便调兵取零陵，差张飞为先锋赵云合后孔明
54. 玄德为中军人马一万五千，留云长守荆州、糜竺、刘封守江陵
55. 零陵太守刘度闻玄德军马到来乃与其子刘贤商议
56. 贤说父亲放心，他虽有张飞、赵云之勇我本州上将邢道荣力敌万人
57. 贤说可以抵对，刘度遂命刘贤与邢道荣引兵万余
58. 离城三十里依山靠水下寨，探马报说孔明自引一军到来
59. 道荣便引军出战，两阵对圆道荣出马手使开山大斧
60. 道荣厉声高叫反贼安敢侵我境界，只见对阵中一簇黄旗出
61. 旗开处推出一辆四轮车，车中端坐一人头戴纶巾身披鹤氅
62. 车中人手执羽扇用扇招邢道荣说吾乃南阳诸葛孔明也
63. 孔明说曹操引百万之众被吾聊施小计杀得片甲不回
64. 孔明说汝等岂堪与我对敌，我今来招安汝等何不早降
65. 道荣大笑说赤壁鏖兵乃周郎之谋也干汝何事敢来诳语
66. 道荣轮大斧竟奔孔明，孔明便回车望阵中走阵门复闭
67. 道荣直冲杀过来阵势急分两下而走
68. 道荣遥望中央一簇黄旗料是孔明乃只望黄旗而赶
69. 抹过山脚黄旗扎住，忽地中央分开不见四轮车
70. 只见一将挺矛跃马大喝一声直取道荣乃张翼德也
71. 道荣轮大斧来迎，战不数合气力不加拨马便走
72. 翼德随后赶来喊声大震两下伏兵齐出
73. 道荣舍死冲过前面一员大将拦住去路
74. 大将大叫认得常山赵子龙否，道荣料敌不过又无处奔走
75. 道荣只得下马请降，子龙缚来寨中见玄德、孔明
76. 玄德喝教斩首，孔明急止之问道荣曰汝若与我捉了刘贤便准你投降
77. 道荣连声愿往，孔明说你用何法捉他
78. 道荣说军师若肯放某回去某自有巧说，今晚军师调兵劫寨
79. 道荣说某为内应活捉刘贤献与军师，刘贤既擒刘度自降矣
80. 玄德不信其言，孔明说邢将军非谬言也
81. 遂放道荣归，道荣得放回寨将前事实诉刘贤
82. 贤问如之奈何，道荣说可将计就计
83. 道荣说今夜将兵伏于寨外寨中虚立旗幡待孔明来劫寨
84. 道荣说就而擒之，刘贤依计
85. 当夜二更果然有一彪军到寨口每人各带草把一齐放火
86. 刘贤、道荣两下杀来放火军便退，刘贤、道荣两军乘势追赶
87. 赶了十余里军皆不见，刘贤、道荣大惊急回本寨
88. 只见火光未灭寨中突出一将乃张翼德也
89. 刘贤叫道荣不可入寨却去劫孔明寨便了，于是复回军
90. 走不十里赵云引一军刺斜里杀出一枪刺道荣于马下
91. 刘贤急拨马奔走背后张飞赶来活捉过马绑缚见孔明
92. 贤告说邢道荣教某如此实非本心也
93. 孔明令释其缚与衣穿了赐酒压惊
94. 孔明教人送入城说父投降，如其不降打破城池满门尽诛
95. 刘贤回零陵见父刘度备述孔明之德劝父投降
96. 度从之遂于城上竖起降旗大开城门
97. 度赍捧印绶出城竟投玄德大寨纳降
98. 孔明教刘度仍为郡守其子刘贤赴荆州随军办事
99. 零陵一郡居民尽皆喜悦，玄德入城安抚已毕赏劳三军
100. 玄德乃问众将曰零陵已取了桂阳郡何人敢取
101. 赵云应说某愿往，张飞奋然出说飞亦愿往
102. 二人相争，孔明说终是子龙先应只教子龙去
103. 张飞不服定要去取，孔明教拈阉拈着的便去
104. 又是子龙拈着，张飞怒说我并不要人相帮只独领三千军去
105. 张飞说稳取城池，赵云说某也只领三千军去
106. 赵云说如不得城愿受军令，孔明大喜责了军令状
107. 孔明选三千精兵付赵云去，张飞不服玄德喝退
108. 赵云领了三千人马径往桂阳进发，早有探马报知桂阳太守赵范
109. 范急聚众商议，管军校尉陈应、鲍隆愿领兵出战
110. 原来二人都是桂阳岭山乡猎户出身，陈应会使飞叉
111. 鲍隆曾射杀双虎，二人自恃勇力乃对赵范说
112. 二人说刘备若来某二人愿为前部，赵范说我闻刘玄德乃大汉皇叔
113. 范说更兼孔明多谋关、张极勇，今领兵来的赵子龙在当阳长坂百万军中
114. 范说如入无人之境，我桂阳能有多少人马不可迎敌只可投降
115. 陈应说某请出战，若擒不得赵云那时任太守投降不迟
116. 赵范拗不过只得应允，陈应领三千人马出城迎敌
117. 早望见赵云领军来到，陈应列成阵势飞马绰叉而出
118. 赵云挺枪出马责骂陈应说吾主刘玄德乃刘景升之弟
119. 赵云说今辅公子刘琦同领荆州特来抚民汝何敢迎敌
120. 陈应骂说我等只服曹丞相岂顺刘备

---

## 简要事件列表（8条）

1. **周瑜忿怒**：周瑜见孔明夺取荆襄三城，气伤箭疮，欲起兵攻打
2. **鲁肃调解**：鲁肃劝阻周瑜，亲往荆州与孔明理论，孔明以刘琦为据辞之
3. **马良献策**：伊籍推荐马良，马良建议先取四郡积钱粮为根本
4. **取零陵**：孔明派兵取零陵，张飞赵云擒刘贤，刘度投降
5. **争取桂阳**：赵云与张飞争功，赵云拈阉得往，陈应出战被擒
6. **赵范投降**：赵范见陈应被擒，开城投降，与赵云结为兄弟
7. **美人计**：赵范以嫂许嫁赵云，赵云怒斥其乱人伦，打倒赵范离去
8. **智取桂阳**：陈应、鲍隆诈降被识破，赵云夜取桂阳，活捉赵范

---

## 极简事件列表（7条）

1. **鲁肃说理**：鲁肃为荆州归属与孔明理论，孔明以刘琦为据拒绝归还
2. **取零陵**：孔明用计取零陵，邢道荣诈降被识破，刘度投降
3. **赵云取桂阳**：赵云与张飞争功，得令取桂阳，陈应出战被擒
4. **结义拒婚**：赵范投降与赵云结义，以嫂许嫁被赵云怒拒
5. **诈降破计**：陈应、鲍隆诈降被识破，赵云夜袭取城
6. **义释赵范**：赵云擒赵范，孔明玄德赞其德行，仍令赵范为太守
7. **张飞请战**：张飞见赵云立功，请命取武陵，孔明应允
