《三国演义》第六十八回事件列表

回目：甘宁百骑劫魏营　左慈掷杯戏曹操
76. 吕蒙乱箭射住岸上兵
77. 陈武与庞德大战无应兵
78. 陈武被树株抓住袍袖
79. 庞德斩杀陈武
80. 曹操驱兵赶到江边对射
81. 陆逊引十万兵到接应
82. 陆逊射退曹兵登岸追杀
83. 夺战马数千匹曹兵大败
84. 孙权寻见陈武尸首
85. 令人水中寻董袭尸首
86. 孙权厚葬陈武董袭
87. 孙权设宴款待周泰
88. 孙权亲自把盏抚背流泪
89. 孙权令周泰解衣示伤
90. 孙权一一问周泰伤痕
91. 一处伤令吃一觥酒
92. 周泰当日大醉
93. 孙权赐青罗伞张盖显耀
94. 孙权与曹操相拒月余
95. 张昭、顾雍建议求和
96. 孙权令步骘往曹营求和
97. 许年纳岁贡
98. 曹操同意求和
99. 孙权撤兵回秣陵
100. 曹操留曹仁、张辽屯合淝
101. 曹操班师回许昌
102. 文武众官议立曹操为魏王
103. 尚书崔琰力言不可
104. 众官以荀彧为例警告崔琰
105. 崔琰大怒骂曹操奸贼
106. 有人告知曹操
107. 曹操收崔琰下狱
108. 廷尉白操崔琰骂不绝口
109. 曹操令杖杀崔琰于狱中
110. 群臣表奏立曹操为魏王
111. 献帝令钟繇草诏
112. 曹操假意三辞
113. 曹操拜受魏王之爵
114. 曹操用天子车服銮仪
115. 曹操于邺郡盖魏王宫
116. 曹操议立世子
117. 曹植聪明举笔成章
118. 曹操欲立曹植为后嗣
119. 曹丕问计于贾诩
120. 贾诩教曹丕以诚感人

=== 简要事件列表（8条） ===

1. 甘宁百骑劫曹营，不折一人而回，威震魏军
2. 凌统与张辽交战，甘宁放箭救凌统，二人结为生死之交
3. 曹操五路大军攻濡须，孙权被围，周泰三入重围救主
4. 陈武战死，董袭沉江，陆逊援兵到，大败曹军
5. 孙权厚葬将士，赏赐周泰，与曹操求和
6. 曹操回许昌，群臣请立魏王，崔琰反对被杀
7. 曹操受封魏王，建宫议立世子，曹植曹丕争嗣
8. 左慈戏曹操，显神通取龙肝牡丹，掷杯化鹤而去

=== 极简事件列表（7条） ===

1. 甘宁百骑劫曹营建功，凌统甘宁释嫌结交
2. 濡须大战孙权被围，周泰三入重围救主
3. 陈武董袭战死，陆逊援军到，吴军大胜
4. 孙权求和，曹操班师，崔琰反对被杀
5. 曹操受封魏王，曹植曹丕争嗣
6. 左慈戏弄曹操，显神通取异物
7. 左慈掷杯化鹤，曹操大怒追杀

=== 人物亮点分析 ===

**甘宁**：
- 勇猛无畏，百骑劫曹营
- 豪爽重义，与凌统释嫌
- 威震魏军，孙权称足以敌张辽
- 智勇双全，善用奇兵

**周泰**：
- 忠勇护主，三入重围救孙权
- 舍生忘死，身被数十枪
- 功勋卓著，得孙权厚待
- 武艺高强，救出徐盛

**孙权**：
- 爱才如命，厚待周泰
- 顾全大局，与曹操求和
- 重情重义，厚葬将士
- 善于用人，平衡诸将

**曹操**：
- 野心勃勃，受封魏王
- 残忍多疑，杖杀崔琰
- 用兵如神，五路攻濡须
- 犹豫不决，立嗣问题

**左慈**：
- 神通广大，戏弄曹操
- 道法高深，变化莫测
- 藐视权贵，劝曹操退位
- 仙风道骨，超然物外

**经典场面**：
- 甘宁百骑劫曹营
- 周泰三入重围救主
- 左慈掷杯化鹤
- 孙权解衣看周泰伤痕
- 凌统甘宁释嫌结交

**历史意义**：
- 曹操称魏王，篡汉野心显露
- 孙刘联盟因共同抗曹而延续
- 吴江东子弟忠勇可嘉
- 道教文化在小说中的体现
