《三国演义》第六十九回事件列表

回目：卜周易管辂知机　讨汉贼五臣死节
72. 管辂遍相文武官僚
73. 皆治世之臣不肯尽言
74. 曹操令卜东吴西蜀二处
75. 管辂设卦东吴主亡一大将
76. 西蜀有兵犯界
77. 合淝报鲁肃身故
78. 曹操大惊差人探汉中消息
79. 飞报张飞马超兵屯下辨取关
80. 曹操欲自领大兵再入汉中
81. 管辂卜曰来春许都必有火灾
82. 曹操不敢轻动留居邺郡
83. 曹洪领兵五万助守东川
84. 夏侯惇领兵三万巡警许都
85. 王必总督御林军马
86. 司马懿劝谏王必嗜酒性宽
87. 曹操说王必忠而且勤心如铁石
88. 耿纪为侍中少府心甚不平
89. 耿纪与韦晃密议讨曹操
90. 韦晃说金祎乃汉相金日磾之后
91. 金祎与王必交厚
92. 耿纪韦晃试探金祎忠心
93. 金祎大怒斥二人不思报本
84. 耿纪韦晃以实情相告
85. 金祎欲里应外合杀王必
86. 金祎有心腹二人吉邈吉穆
87. 二人乃吉平之子有杀父之仇
88. 约定正月十五夜举事
89. 金祎先期见王必建议放灯庆元宵
90. 王必然其言告谕居民张灯结彩
91. 正月十五夜六街三市竞放花灯
92. 王必与御林诸将在营中饮宴
93. 二更后营中呐喊火起
94. 王必出帐见火光乱滚喊杀连天
95. 王必急上马出南门遇耿纪
96. 耿纪一箭射中王必肩膊
97. 王必望西门而走
98. 王必弃马步行至金祎门首
99. 金祎妻问王必那厮杀了么
100. 王必大悟金祎同谋
101. 王必投曹休家报知谋反
102. 曹休引千余人在城中拒敌
103. 城内四下火起烧五凤楼
104. 帝避于深宫曹氏死据宫门
105. 城中叫杀尽曹贼以扶汉室
106. 夏侯惇领大军围住许都
107. 耿纪韦晃无人相助
108. 金祎二吉皆被杀死
109. 耿纪韦晃夺路杀出遇夏侯惇
110. 耿纪韦晃被活捉
111. 夏侯惇救灭遗火收五人老小宗族
112. 曹操传令斩耿韦二人及五家宗族
113. 在朝百官尽拿解邺郡
114. 耿纪厉声大叫死作厉鬼击贼
115. 韦晃咬牙皆碎而死
116. 曹操立红旗白旗分百官
117. 救火者立红旗下不救火者立白旗下
118. 众官多奔红旗之下
119. 曹操说救火者实欲助贼
120. 尽拿立于红旗下者斩三百余员

=== 简要事件列表（8条） ===

1. 管辂神卜显灵，预知赵颜死期，南斗添寿至九十九
2. 曹操召管辂卜天下事，预言东吴亡将西蜀犯界
3. 管辂预言许都火灾，曹操留邺郡不敢轻动
4. 耿纪韦晃金祎密谋讨曹操，约定元宵举事
5. 正月十五夜放火为号，五人分兵杀王必
6. 王必中箭逃走报信，曹休夏侯惇平定叛乱
7. 耿纪韦晃等五人被擒，骂不绝口而死
8. 曹操用计诛杀救火官员三百余员，重定朝纲

=== 极简事件列表（7条） ===

1. 管辂神卜，南斗添寿，预言天下大事
2. 曹操召管辂，知东吴亡将西蜀犯界
3. 耿纪等五臣密谋讨曹操，元宵举事
4. 火烧许都，五路分兵杀王必
5. 王必中箭逃走，曹休夏侯惇平叛
6. 五臣被擒骂贼而死，宗族被诛
7. 曹操用计杀救火官员，重定爵位

=== 人物亮点分析 ===

**管辂**：
- 神卜通天，预知生死祸福
- 精通周易，善相术知天机
- 智救赵颜，南斗添寿显神通
- 谦逊自持，不受曹操高官厚禄

**耿纪**：
- 忠心汉室，痛恨曹操篡逆
- 勇敢果断，组织讨贼义举
- 宁死不屈，骂贼而死显忠烈
- 虽败犹荣，千古流芳

**金祎**：
- 汉相之后，世代忠良
- 机智多谋，设计里应外合
- 大义凛然，斥责卖国求荣
- 舍生取义，为汉室捐躯

**韦晃**：
- 正直忠诚，与耿纪同心
- 善于识人，举荐金祎共谋
- 坚贞不屈，咬牙碎齿而死
- 义薄云天，名垂青史

**曹操**：
- 狡诈多疑，用管辂卜吉凶
- 残忍狠毒，诛杀忠臣宗族
- 奸猾诡计，红旗白旗分官员
- 权倾朝野，重定爵位官制

**经典场面**：
- 管辂神卜南斗添寿
- 五臣元宵举事讨贼
- 火烧许都杀声震天
- 王必中箭逃走报信
- 曹操红旗白旗分官
- 耿纪骂贼而死

**历史意义**：
- 反曹势力虽败犹荣，体现汉室忠臣精神
- 曹操权势达到顶峰，篡汉野心更加明显
- 管辂神卜体现了古代卜筮文化
- 为后续曹丕篡汉埋下伏笔
