《三国演义》第六十六回事件列表
回目：关云长单刀赴会　伏皇后为国捐生
51. 玄德说容吾取了东川、汉中诸郡，调云长往守之
52. 玄德说那时方得交付荆州
53. 瑾不得已，只得回东吴见孙权，具言前事
54. 孙权大怒说子瑜此去反覆奔走
55. 孙权说莫非皆是诸葛亮之计，瑾说非也
56. 瑾说吾弟亦哭告玄德，方许将三郡先还
57. 瑾说又无奈云长恃顽不肯
58. 孙权说既刘备有先还三郡之言，便可差官前去
59. 孙权说往长沙、零陵、桂阳三郡赴任，且看如何
60. 瑾说主公所言极善，权乃令瑾取回老小
61. 孙权一面差官往三郡赴任
62. 三郡差去官吏，尽被逐回，告孙权
63. 说关云长不肯相容，连夜赶逐回吴
64. 说迟后者便要杀，孙权大怒
65. 孙权差人召鲁肃责之，说子敬昔为刘备作保
66. 孙权说借吾荆州，今刘备已得西川不肯归还
67. 孙权说子敬岂得坐视，肃说已思得一计
68. 肃说今屯兵于陆口，使人请关云长赴会
69. 肃说若云长肯来，以善言说之
70. 肃说如其不从，伏下刀斧手杀之
71. 肃说如彼不肯来，随即进兵与决胜负
72. 肃说夺取荆州便了，孙权说正合吾意
73. 阐泽进说不可，关云长乃世之虎将
74. 阐泽说恐事不谐，反遭其害
75. 孙权怒说若如此，荆州何日可得
76. 孙权便命鲁肃速行此计，肃乃辞孙权
77. 肃至陆口，召吕蒙、甘宁商议
78. 肃设宴于陆口寨外临江亭上，修下请书
79. 肃选帐下能言快语一人为使，登舟渡江
80. 江口关平问了，遂引使者入荆州
81. 使者叩见云长，具道鲁肃相邀赴会之意
82. 使者呈上请书，云长看书毕
83. 云长说既子敬相请，我明日便来赴宴
84. 云长说汝可先回，使者辞去
85. 关平说鲁肃相邀必无好意，父亲何故许之
86. 云长笑说吾岂不知耶，此是诸葛瑾回报孙权
87. 云长说故令鲁肃屯兵陆口，邀我赴会便索荆州
88. 云长说吾若不往道吾怯矣，吾来日独驾小舟
89. 云长说只用亲随十余人，单刀赴会
90. 云长说看鲁肃如何近我，平谏说父亲奈何
91. 平说以万金之躯，亲蹈虎狼之穴
92. 平说恐非所以重伯父之寄托也
93. 云长说吾于千枪万刃之中，矢石交攻之际
94. 云长说匹马纵横如入无人之境，岂忧江东群鼠乎
95. 马良亦谏说鲁肃虽有长者之风，但今事急
96. 马良说不容不生异心，将军不可轻往
97. 云长说昔战国时赵人蔺相如，无缚鸡之力
98. 云长说于渑池会上，觑秦国君臣如无物
99. 云长说况吾曾学万人敌者乎，既已许诺不可失信
100. 良说纵将军去，亦当有准备
101. 云长说只教吾儿选快船十只，藏善水军五百
102. 云长说于江上等候，看吾认旗起处便过江来
103. 平领命自去准备，使者回报鲁肃
104. 说云长慨然应允，来日准到
105. 肃与吕蒙商议此来若何，蒙说彼带军马来
106. 蒙说某与甘宁各人领一军伏于岸侧
107. 蒙说放炮为号准备厮杀，如无军来
108. 蒙说只于庭后伏刀斧手五十人，就筵间杀之
109. 计会已定，次日肃令人于岸口遥望
110. 辰时后，见江面上一只船来，梢公水手只数人
111. 一面红旗，风中招飐，显出一个大"关"字来
112. 船渐近岸，见云长青巾绿袍坐于船上
113. 傍边周仓捧着大刀，八九个关西大汉各跨腰刀一口
114. 鲁肃惊疑，接入庭内，叙礼毕入席饮酒
115. 举杯相劝，不敢仰视，云长谈笑自若
116. 酒至半酣，肃说有一言诉与君侯幸垂听焉
117. 肃说昔日令兄皇叔，使肃于吾主之前保借荆州暂住
118. 肃说约于取川之后归还，今西川已得而荆州未还
119. 肃说得毋失信乎，云长说此国家之事
120. 云长说筵间不必论之，肃说吾主只区区江东之地

【简要事件列表（8条）】
1. 张昭献计执诸葛瑾老小，逼诸葛亮劝刘备还荆州
2. 孔明哭求玄德，玄德许还三郡，云长拒不交割
3. 鲁肃设宴陆口，邀关云长赴会索荆州
4. 关云长单刀赴会，周仓助阵脱身
5. 鲁肃计谋不成，孙权欲起兵攻荆州
6. 曹操欲南征，傅干上书谏止
7. 伏皇后密书父伏完，谋诛曹操事泄
8. 华歆收捕伏后，伏氏三族尽被诛

【极简事件列表（7条）】
1. 孙权索荆州，张昭计执诸葛瑾老小逼还
2. 孔明哭求玄德许三郡，关云长拒不交割
3. 鲁肃设鸿门宴，邀关云长赴会
4. 关云长单刀赴会，智脱险境
5. 伏皇后密谋诛曹操，事泄被杀
6. 华歆凶残收捕伏后，伏氏三族遭诛
7. 曹操立女为后，威势日甚欲征吴蜀

【人物亮点分析】
1. 关云长英勇：单刀赴会，视江东群鼠如无物
2. 诸葛亮智谋：哭求玄德，巧妙应对孙权索荆州
3. 鲁肃忠义：虽设伏计，仍保持君子之风
4. 伏皇后忠烈：为国捐生，密谋诛奸
5. 华歆奸恶：破壁收后，助纣为虐
6. 曹操凶残：诛杀伏后，鸩杀皇子，威逼献帝

【经典场面】
1. 单刀赴会：关云长独驾小舟，手提大刀，智脱险境
2. 伏后殉国：披发跣足，被甲士推拥而出，慷慨赴死
3. 孔明哭求：为救兄长，哭拜于地，展现手足情深
4. 华歆破壁：亲自动手揪后头髻拖出，凶相毕露

【情节转折】
1. 荆州之争：孙刘联盟因荆州问题产生裂痕
2. 汉室衰微：伏后被杀，曹操立女为后，汉室名存实亡
3. 曹操势盛：威权日重，已有篡位之意
4. 战争阴云：孙权欲攻荆州，曹操欲征吴蜀，大战在即
