《三国演义》第四十七回事件列表

回目：阚泽密献诈降书　庞统巧授连环计
65. 阚泽失色，甘宁拔剑而起
66. 甘宁说事已窥破，须杀之灭口
67. 蔡和、蔡中慌说二人勿忧，有心腹之事相告
68. 甘宁请速言之
69. 蔡和说二人乃曹操使来诈降者
70. 蔡和说若二人有归顺之心，当引进
71. 甘宁问言是否果真
72. 二蔡齐声说安敢相欺
73. 甘宁佯喜说天赐其便
74. 二蔡说黄盖与甘宁被辱之事已报知丞相
75. 阚泽说已为黄盖献书丞相，特来相约同降
76. 甘宁说大丈夫既遇明主，自当倾心相投
77. 四人共饮，同论心事
78. 二蔡即时写书密报曹操，说甘宁为内应
79. 阚泽另修书密报曹操，说明黄盖来降标记
80. 曹操连得二书，心中疑惑不定
81. 曹操聚众谋士商议，说俱未可深信
82. 曹操问谁敢直入周瑜寨中探听实信
83. 蒋干进言愿舍身再往，务得实信
84. 曹操大喜，令蒋干上船
85. 蒋干驾小舟到江南水寨边，使人传报
86. 周瑜听得蒋干又到，大喜
87. 周瑜说成功只在此人身上
88. 周瑜嘱付鲁肃请庞统来
89. 介绍庞统：襄阳人，字士元，避乱寓居江东
90. 鲁肃曾荐庞统于周瑜
91. 周瑜先使肃问统破曹之策
92. 庞统密谓须用火攻，但须献连环计
93. 庞统说须教曹操钉船作一处，然后功可成
94. 鲁肃以告瑜，瑜深服其论
95. 周瑜说行此计非庞士元不可
96. 鲁肃说怕曹操奸猾如何去得
97. 周瑜沉吟未决，忽报蒋干又来
98. 周瑜大喜，一面分付庞统用计
99. 周瑜坐于帐上，使人请蒋干
100. 蒋干见不来接，心中疑虑
101. 蒋干教把船于僻静岸口缆系
102. 蒋干入寨见周瑜
103. 周瑜作色说子翼何故欺吾太甚
104. 蒋干说要吐心腹事，何言相欺
105. 周瑜说蒋干要说他降，除非海枯石烂
106. 周瑜说前番念旧情请醉饮，蒋干却盗私书
107. 周瑜说蒋干归报曹操，杀了蔡瑁张允
108. 周瑜说今日又来必不怀好意
109. 周瑜说本待送过去，但一二日间便要破曹
110. 周瑜教左右送蒋干往西山庵中歇息
111. 蒋干再欲开言，周瑜已入帐后
112. 左右取马与蒋干乘坐，送到西山小庵
113. 拨两个军人伏侍蒋干
114. 蒋干在庵内心中忧闷，寝食不安
115. 是夜星露满天，蒋干独步出庵后
116. 蒋干听得读书之声，信步寻去
117. 见山岩畔有草屋数椽，内射灯光
118. 蒋干往窥之，见一人挂剑灯前诵孙吴兵书
119. 蒋干思此必异人，叩户请见
120. 其人开门出迎，仪表非俗

---

## 简要事件列表（8条）

1. **阚泽献诈降书**：黄盖派阚泽向曹操献诈降书，阚泽凭借机智辩才成功说服曹操相信黄盖真心投降
2. **甘宁诈降配合**：阚泽联合甘宁在蔡中、蔡和面前演戏，让二人相信甘宁也要投降，进一步巩固曹操的信任
3. **蒋干再访东吴**：曹操对黄盖、甘宁投降仍有疑虑，蒋干主动请缨再往东吴探听虚实
4. **周瑜将计就计**：周瑜得知蒋干又来，大喜并安排庞统实施连环计
5. **庞统献连环计**：庞统向周瑜献策，须用火攻但需先将曹操战船连锁
6. **蒋干偶遇庞统**：蒋干被安置西山庵中，夜遇庞统，被其才学折服
7. **庞统投曹**：庞统假装不满周瑜，随蒋干投奔曹操
8. **连环计实施**：庞统向曹操献连环计，建议用铁环连锁战船以解北兵不习水战之苦，曹操大喜采纳

---

## 极简事件列表（7条）

1. **诈降成功**：阚泽献黄盖诈降书，机智辩服曹操
2. **双管齐下**：联合甘宁演戏，让蔡氏兄弟报信增强可信度
3. **蒋干中计**：曹操派蒋干再探，正中周瑜下怀
4. **连环献策**：庞统向周瑜献火攻需连锁战船之策
5. **巧遇投诚**：蒋干偶遇庞统，劝其投曹
6. **献计曹操**：庞统向曹操献连环计，锁船解颠簸之苦
7. **计策成功**：曹操采纳连环计，打造铁环连锁战船
