《三国演义》第六十四回事件列表
回目：孔明定计捉张任　杨阜借兵破马超
57. 赵云解吴懿见玄德，吴懿表示投降
58. 玄德大喜，亲解其缚
59. 孔明问城中守将，吴懿告知刘循、刘璝、张任
60. 吴懿说张乃蜀郡人，极有胆略，不可轻敌
61. 孔明决定先捉张任，然后取雒城
62. 孔明问城东桥名，吴懿答曰金雁桥
63. 孔明乘马至桥边绕河看了一遍
64. 孔明唤黄忠、魏延听令，安排埋伏
65. 魏延引一千枪手伏于左，单戳马上将
66. 黄忠引一千刀手伏于右，单砍坐下马
67. 张飞引一千军伏于山东小路擒张任
68. 赵云伏于金雁桥北，待孔明引张任过桥拆桥
69. 调遣已定，孔明自去诱敌
70. 刘璋差卓鹰、张翼二将至雒城助战
71. 张任教张翼与刘璝守城，自与卓膺为前后二队
72. 孔明引不整不齐军过金雁桥与张任对阵
73. 孔明乘四轮车纶巾羽扇而出，遥指张任
74. 孔明说曹操百万之众闻吾名望风而走
75. 张任见孔明军伍不齐，冷笑说有名无实
76. 张任把枪一招，大小军校齐杀过来
77. 孔明弃四轮车上马退走过桥
78. 张任从背后追赶，过了金雁桥
79. 玄德军在左，严颜军在右，冲杀将来
80. 张任知是计，急回军时桥已拆断
81. 张任欲投北去，见赵云一军隔岸摆开
82. 张任不敢投北，径往南绕河而走
83. 走不到五七里，到芦苇丛杂处
84. 魏延一军从芦中忽起，用长枪乱戳
85. 黄忠一军伏在芦苇里，用长刀只剁马蹄
86. 马军尽倒，皆被执缚，步军不敢来
87. 张任引数十骑望山路而走，正撞着张飞
88. 张飞大喝一声，众军齐上，活捉张任
89. 卓膺见张任中计，已投赵云军前投降
90. 玄德赏了卓膺，张飞解张任至
91. 玄德劝张任投降，张任睁目怒叫
92. 张任说忠臣岂肯事二主，今日便降久后也不降
93. 玄德不忍杀之，张任厉声高骂
94. 孔明命斩之以全其名
95. 后人有诗赞张任忠勇
96. 玄德感叹不已，令收尸葬于金雁桥侧
97. 玄德令严颜、吴懿等降将为前部
98. 严颜等至雒城大叫开门受降
99. 刘璝在城上大骂，严颜方待取箭射之
100. 城上一将拔剑砍翻刘璝，开门投降
101. 玄德军马入雒城，刘循开西门走脱投成都
102. 玄德出榜安民，杀刘璝者乃武阳人张翼
103. 玄德得了雒城，重赏诸将
104. 孔明说雒城已破，成都只在目前
105. 孔明令张翼、吴懿引赵云抚外水江阳等处
106. 孔明令严颜、卓膺引张飞抚巴西德阳等处
107. 张飞、赵云领命，各自引兵去了
108. 孔明问前去关隘，降将说止绵竹有重兵守御
109. 孔明商议进兵，法正建议勿进兵
110. 法正说作一书上刘璋陈说利害，璋自然降
111. 孔明令写书遣人径往成都
112. 刘循逃回见父，说雒城已陷，刘璋慌聚众官商议
113. 从事郑度献策：驱民过涪水西，烧除仓鹰野谷
114. 刘璋说拒敌以安民，未闻动民以备敌
115. 法正有书至，刘璋拆开视之
116. 法正书说荆州眷念旧情，望刘璋归顺
117. 刘璋大怒，扯毁其书，大骂法正卖主求荣
118. 刘璋逐使者出城，遣妻弟费观守绵竹
119. 费观举保南阳人李严字正方，一同领兵
120. 费观、李严点三万军来守绵竹

【简要事件列表（8条）】
1. 严颜义释助张飞，四十五处关隘望风而降
2. 玄德劫寨失利被围，张飞救驾解围
3. 孔明定计金雁桥，设伏擒张任
4. 张任忠勇不降，孔明斩之全其名
5. 雒城破刘循走脱，玄德安民抚蜀
6. 法正劝降刘璋，刘璋怒斥法正
7. 费观李严守绵竹，刘璋遣使求救汉中
8. 马超败走投张鲁，杨阜借兵破超复仇

【极简事件列表（7条）】
1. 严颜助张飞取川，关隘尽降
2. 孔明金雁桥设伏，智擒张任
3. 张任忠勇不屈，孔明斩之全节
4. 雒城破刘璋势危，法正劝降被拒
5. 玄德得雒城抚民，分兵取各州
6. 刘璋遣使求救，费观李严守绵竹
7. 马超兵败投张鲁，杨阜兴兵讨贼

【人物亮点分析】
1. 孔明智慧：金雁桥设伏擒张任，展现军事谋略
2. 张任忠勇：宁死不降，忠义可嘉
3. 严颜感恩：义释后全力助张飞，展现知恩图报
4. 玄德仁德：不忍杀张任，体现宽厚仁慈
5. 法正智谋：劝降刘璋，展现政治智慧
6. 刘璋昏庸：不听良策，怒斥忠臣，注定败亡

【经典场面】
1. 金雁桥设伏：孔明巧妙布局，四面埋伏擒张任
2. 张任就义：忠臣不事二主，慷慨赴死
3. 严颜助战：义释后感恩图报，所到之处望风而降
4. 法正劝降：以利害说刘璋，展现政治远见

【情节转折】
1. 雒城破蜀中危：刘备取雒城，成都指日可下
2. 张任死蜀将降：忠勇将领死后，蜀中诸将纷纷归降
3. 刘璋势孤：内外受困，遣使求救汉中
4. 马超再败：从曹操败到羌中败，走投无路投张鲁
