《三国演义》第六十七回事件列表

回目：曹操平定汉中地　张辽威震逍遥津
74. 曹操三面攻打南郑
75. 张卫建议烧库出奔
76. 杨松建议投降
77. 张鲁封存仓库不忍烧
78. 张鲁开南门杀出
79. 曹操入南郑见仓库封存
80. 曹操差人劝张鲁投降
81. 张卫不肯降曹
82. 杨松为内应献城
83. 许褚斩张卫于马下
84. 杨松闭门不纳张鲁
85. 张鲁下马投降
86. 曹操封张鲁为镇南将军
87. 曹操斩杨松于市曹
88. 司马懿建议进兵攻西川
89. 曹操叹"既得陇，复望蜀"
90. 刘晔劝曹操乘机取蜀
91. 曹操按兵不动
92. 西川百姓惊恐曹操来攻
93. 孔明献计令孙权攻合淝
94. 玄德遣伊籍使吴
95. 伊籍见孙权陈说利害
96. 孙权同意起兵攻合淝
97. 鲁肃收取三郡屯兵陆口
98. 吕蒙建议先取皖城
99. 孙权令吕蒙、甘宁为先锋
100. 孙权引军渡江取皖城
101. 朱光固守皖城不出
102. 甘宁冒矢石攻城
103. 甘宁铁链打倒朱光
104. 吕蒙擂鼓助阵
105. 曹军一拥而上破皖城
106. 张辽闻皖城失守回兵
107. 孙权入皖城大犒三军
108. 凌统与甘宁筵前相争
109. 吕蒙舞刀牌分开二人
110. 孙权劝解二人旧仇
111. 孙权起兵进取合淝
112. 张辽得曹操木匣教帖
113. 张辽主张出战折其锋锐
114. 李典与张辽不睦
115. 乐进主张坚守
116. 张辽欲自出迎敌
117. 李典慨然相助
118. 张辽令李典埋伏逍遥津北
119. 孙权引十万大军攻合淝
120. 乐进诈败诱敌深入

=== 简要事件列表（8条） ===

1. 曹操西征汉中，张卫阳平关设防，杨昂杨任劫寨初胜
2. 曹操用计破阳平关，斩杨昂杨任，张鲁坚守南郑
3. 庞德出战力战四将，曹操用贾诩计收降庞德
4. 杨松卖主献南郑，张鲁投降，曹操平定汉中
5. 司马懿劝取西川，曹操按兵不动，孔明献计联吴制曹
6. 伊籍使吴说服孙权，孙权起兵攻合淝
7. 吕蒙甘宁取皖城，凌统甘宁筵前相争
8. 张辽威震逍遥津，设计大败孙权十万大军

=== 极简事件列表（7条） ===

1. 曹操平定汉中，收降张鲁庞德，斩杨松
2. 孔明献计令孙权攻合淝以牵制曹操
3. 伊籍使吴成功说服孙权起兵
4. 吕蒙甘宁智取皖城，孙权大犒三军
5. 凌统甘宁旧仇复燃，吕蒙调解
6. 张辽得曹操密计，李典弃嫌相助
7. 逍遥津大战，张辽威震江东，孙权险被擒

=== 人物亮点分析 ===

**曹操**：
- 用兵如神，以退为进破阳平关
- 爱才心切，收降庞德
- 优待降将，封张鲁为将军
- 果断斩奸臣，诛杨松以正军心

**张辽**：
- 忠勇无双，深得曹操信任
- 顾全大局，说服李典合作
- 威震逍遥津，大败孙权十万军
- 智勇双全，善用兵法

**庞德**：
- 西凉勇将，力战四将不惧
- 明辨是非，识张鲁不仁而降曹
- 武艺高强，深得曹操赏识

**孙权**：
- 有战略眼光，乘机攻合淝
- 爱惜人才，劝解凌统甘宁
- 勇于冒险，亲率十万大军
- 临危不乱，跃马过断桥

**经典场面**：
- 张辽威震逍遥津，大败孙权
- 孙权跃马过断桥脱险
- 庞德力战四将显神威
- 凌统甘宁筵前舞剑相争
- 吕蒙巧计解纷争

**历史意义**：
- 曹操得汉中，势力达到顶峰
- 孙刘联盟因共同抗曹而维系
- 张辽威名传江东，影响深远
- 为三国鼎立格局奠定基础
