《三国演义》第五十五回事件列表

回目：玄德智激孙夫人　孔明二气周公瑾
56. 孙夫人说你休瞒我我已听知了也
57. 孙夫人说方才赵子龙报说荆州危急你欲还乡
58. 孙夫人说故推此意，玄德跪而告曰夫人既知
59. 玄德说备安敢相瞒备欲不去使荆州有失
60. 玄德说被天下人耻笑欲去又舍不得夫人因此烦恼
61. 孙夫人说妾已事君任君所之妾当相随
62. 玄德说夫人之心虽则如此争奈国太与吴侯安肯容夫人去
63. 玄德说夫人若可怜刘备暂时辞别
64. 玄德言毕泪如雨下，孙夫人劝说丈夫休得烦恼
65. 孙夫人说妾当苦告母亲必放妾与君同去
66. 玄德说纵然国太肯时吴侯必然阻挡
67. 孙夫人沉吟良久乃说妾与君正旦拜贺时
68. 孙夫人说推称江边祭祖不告而去若何
69. 玄德又跪而谢说若如此生死难忘切勿漏泄
70. 两个商议已定，玄德密唤赵云分付
71. 玄德说正旦日你先引军士出城于官道等候
72. 玄德说吾推祭祖与夫人同走，赵云领诺
73. 建安十五年春正月元旦，吴侯大会文武于堂上
74. 玄德与孙夫人入拜国太，孙夫人说夫主想父母宗祖坟墓
75. 孙夫人说俱在涿郡昼夜伤感不已
76. 孙夫人说今日欲往江边望北遥祭须告母亲得知
77. 国太说此孝道也岂有不从，汝虽不识舅姑
78. 国太说可同汝夫前去祭拜亦见为妇之礼
79. 孙夫人同玄德拜谢而出，此时只瞒着孙权
80. 夫人乘车止带随身一应细软，玄德上马引数骑跟随
81. 玄德出城与赵云相会，五百军士前遮后拥
82. 玄德离了南徐趱程而行，当日孙权大醉
83. 左右近侍扶入后堂文武皆散，比及众官探得玄德夫人逃遁之时
84. 天色已晚要报孙权权醉不醒，及至睡觉已是五更
85. 次日孙权闻知走了玄德急唤文武商议
86. 张昭说今日走了此人早晚必生祸乱可急追之
87. 孙权令陈武潘璋选五百精兵无分昼夜务要赶上拿回
88. 二将领命去了，孙权深恨玄德将案上玉砚摔为粉碎
89. 程普说主公空有冲天之怒某料陈武潘璋必擒此人不得
90. 权说焉敢违我令，普说郡主自幼好观武事
91. 程普说严毅刚正诸将皆惧，既然肯顺刘备必同心而去
92. 程普说所追之将若见郡主岂肯下手
93. 权大怒掣所佩之剑唤蒋钦周泰听令
94. 权说汝二人将这口剑去取吾妹并刘备头来
95. 权说违令者立斩，蒋钦周泰领命随后引一千军赶来
96. 玄德加鞭纵辔趱程而行，当夜于路暂歇两个更次
97. 慌忙起行看看来到柴桑界首，望见后面尘头大起
98. 人报追兵至矣，玄德慌问赵云追兵既至如之奈何
99. 赵云说主公先行某愿当后，转过前面山脚
100. 一彪军马拦住去路，当先两员大将厉声高叫
101. 二将说刘备早早下马受缚，吾奉周都督将令
102. 二将说守候多时，原来周瑜恐玄德走脱
103. 周瑜先使徐盛丁奉引三千军马于冲要之处扎营等候
104. 周瑜时常令人登高遥望料得玄德若投旱路必经此道而过
105. 当日徐盛丁奉了望得玄德一行人到各绰兵器截住去路
106. 玄德惊慌勒回马问赵云前有拦截之兵后有追赶之兵
107. 玄德说前后无路如之奈何，赵云说主公休慌
108. 赵云说军师有三条妙计多在锦囊之中
109. 赵云说已拆了两个并皆应验今尚有第三个在此
110. 赵云说分付遇危难之时方可拆看今日危急当拆观之
111. 赵云便将锦囊拆开献与玄德，玄德看了
112. 玄德急来车前泣告孙夫人说备有心腹之言至此尽当实诉
113. 孙夫人说丈夫有何言语实对我说
114. 玄德说昔日吴侯与周瑜同谋将夫人招嫁刘备
115. 玄德说实非为夫人计乃欲幽困刘备而夺荆州耳
116. 玄德说夺了荆州必将杀备是以夫人为香饵而钓备也
117. 玄德说备不惧万死而来盖知夫人有男子之胸襟必能怜备
118. 玄德说昨闻吴侯将欲加害故托荆州有难以图归计
119. 玄德说幸得夫人不弃同至于此今吴侯又令人在后追赶
120. 玄德说周瑜又使人于前截住非夫人莫解此祸

---

## 简要事件列表（8条）

1. **洞房惊惧**：玄德见孙夫人房中兵器森列，惊惧失色，夫人撤去兵器成亲
2. **周瑜软困计**：周瑜闻弄假成真，定软困计，送美色玩好使玄德沉迷忘荆州
3. **赵云用计**：年终赵云按第二个锦囊，假报荆州危急，玄德智激孙夫人同归
4. **元旦逃归**：正旦日玄德与夫人借口祭祖逃出南徐，赵云接应
5. **孙权追击**：孙权闻知大怒，先后派陈武潘璋、蒋钦周泰追击
6. **徐盛拦截**：周瑜预派徐盛丁奉拦截，孙夫人怒斥退兵
7. **再遇追兵**：陈武潘璋又至，孙夫人以国太之命斥退，四将不敢动手
8. **孔明接应**：玄德到江边无船，孔明备船接应，周瑜追至被关黄魏伏击大败

---

## 极简事件列表（7条）

1. **玄德成亲**：玄德与孙夫人成亲，被声色所迷忘荆州
2. **软困之计**：周瑜定软困计，送美色使玄德沉迷
3. **智激夫人**：赵云按计假报荆州危急，玄德智激孙夫人同归
4. **逃出南徐**：元旦借口祭祖逃出，孙权派兵追击
5. **夫人退兵**：孙夫人怒斥徐盛丁奉等追兵，皆不敢动手
6. **江边接应**：玄德到江边，孔明备船接应
7. **二气周瑜**：周瑜追击被关黄魏伏击，大败怒极金疮迸裂
