《三国演义》第四十八回事件列表

回目：宴长江曹操赋诗　锁战船北军用武
64. 曹操横槊谓诸将说持此槊破黄巾、擒吕布、灭袁术、收袁绍
65. 曹操说深入塞北，直抵辽东，纵横天下，颇不负大丈夫之志
66. 曹操说今对此景，甚有慷慨，吾当作歌，汝等和之
67. 曹操歌曰：对酒当歌，人生几何
68. 歌词：譬如朝露，去日苦多
69. 歌词：慨当以慷，忧思难忘；何以解忧，惟有杜康
70. 歌词：青青子衿，悠悠我心；但为君故，沉吟至今
71. 歌词：呦呦鹿鸣，食野之苹；我有嘉宾，鼓瑟吹笙
72. 歌词：皎皎如月，何时可辍？忧从中来，不可断绝
73. 歌词：越陌度阡，枉用相存；契阔谈宴，心念旧恩
74. 歌词：月明星稀，乌鹊南飞；绕树三匝，无枝可依
75. 歌词：山不厌高，水不厌深：周公吐哺，天下归心
76. 歌罢，众和之，共皆欢笑
77. 忽座间一人进说大军相当之际，将士用命之时
78. 此人说丞相何故出此不吉之言
79. 曹操视之，乃扬州刺史刘馥，字元颖
80. 介绍刘馥起自合淝，创立州治，聚逃散之民
81. 刘馥立学校，广屯田，兴治教，久事曹操，多立功绩
82. 曹操横槊问吾言有何不吉
83. 刘馥说月明星稀，乌鹊南飞；绕树三匝，无枝可依，此不吉之言
84. 曹操大怒说汝安敢败吾兴
85. 曹操手起一槊，刺死刘馥
86. 众皆惊骇，遂罢宴
87. 次日，操酒醒，懊恨不已
88. 刘馥子刘熙，告请父尸归葬
89. 曹操泣说昨因醉误伤汝父，悔之无及
90. 曹操说可以三公厚礼葬之
91. 曹操拨军士护送灵柩，即日回葬
92. 次日，水军都督毛玠、于禁诣帐下请令
93. 毛玠、于禁说大小船只俱已配搭连锁停当
94. 毛玠、于禁说旌旗战具一一齐备，请丞相调遣
95. 曹操至水军中央大战船上坐定，唤集诸将
96. 水旱二军俱分五色旗号
97. 水军中央黄旗毛玠、于禁，前军红旗张郃
98. 后军皂旗吕虔，左军青旗文聘，右军白旗吕通
99. 马步前军红旗徐晃，后军皂旗李典
100. 左军青旗乐进，右军白旗夏侯渊
101. 水陆路都接应使：夏侯惇、曹洪
102. 护卫往来监战使：许褚、张辽
103. 其余骁将，各依队伍
104. 令毕，水军寨中发擂三通
105. 各队伍战船分门而出
106. 是日西北风骤起，各船拽起风帆
107. 各船冲波激浪，稳如平地
108. 北军在船上，踊跃施勇，刺枪使刀
109. 前后左右各军，旗幡不杂
110. 又有小船五十余只，往来巡警催督
111. 曹操立于将台之上，观看调练，心中大喜
112. 曹操以为必胜之法，教且收住帆幔
113. 各依次序回寨
114. 操升帐谓众谋士说若非天命助吾，安得凤雏妙计
115. 曹操说铁索连舟，果然渡江如履平地
116. 程昱说船皆连锁固是平稳，但彼若用火攻，难以回避
117. 曹操大笑说程仲德虽有远虑，却还有见不到处
118. 荀攸说仲德之言甚是，丞相何故笑之
119. 曹操说凡用火攻必藉风力，方今隆冬之际但有西风北风
120. 曹操说安有东风南风耶，吾居于西北之上，彼兵皆在南岸

---

## 简要事件列表（8条）

1. **徐庶脱身之计**：庞统巧授徐庶脱身之术，徐庶散布韩遂、马腾谋反谣言，借机领兵离开
2. **曹操宴长江**：建安十三年冬十一月十五日，曹操在长江大船上设宴，与众将饮酒作乐
3. **曹操赋诗**：酒酣之际，曹操横槊赋诗《短歌行》，抒发统一天下之志
4. **误杀刘馥**：刘馥指出诗中"月明星稀，乌鹊南飞"为不吉之言，曹操大怒将其刺死
5. **战船连锁**：毛玠、于禁报告战船已配搭连锁停当，曹操检阅水军，以为必胜之法
6. **焦触张南挑战**：焦触、张南请命率小船挑战江南，显示北军亦能乘舟
7. **首战失利**：焦触被韩当刺死，张南被周泰砍杀，北军首战失利
8. **周瑜发病**：周瑜观战时见曹军旗折，又感狂风拂面，想起一事，大叫一声口吐鲜血

---

## 极简事件列表（7条）

1. **庞统救徐庶**：庞统授计徐庶散布谣言，借机脱身离开曹操
2. **长江宴饮**：曹操在长江大船上设宴与众将饮酒
3. **横槊赋诗**：曹操酒酣赋《短歌行》，抒发统一天下之志
4. **怒杀刘馥**：刘馥指出诗中不吉之言，曹操将其刺死
5. **检阅水军**：曹操检阅连锁战船，以为必胜之法
6. **北军挑战**：焦触、张南率小船挑战江南，首战失利
7. **周瑜发病**：周瑜观战时忽感不适，口吐鲜血昏倒
