《三国演义》第五十六回事件列表

回目：曹操大宴铜雀台　孔明三气周公瑾
58. 郃也中红心，四枝箭齐齐的攒在红心里
59. 众人都道好射法，郃说锦袍须该是我的
60. 言未毕红袍队中一将飞马而出大叫曰
61. 夏侯渊说汝翻身背射何足称异看我夺射红心
62. 众视之乃夏侯渊也，渊骤马至界口
63. 渊纽回身一箭射去正在四箭当中
64. 金鼓齐鸣，渊勒马按弓大叫曰
65. 渊说此箭可夺得锦袍么，只见绿袍队里一将应声而出
66. 徐晃大叫且留下锦袍与我徐晃
67. 渊说汝更有何射法可夺我袍
68. 晃说汝夺射红心不足为异看我单取锦袍
69. 晃拈弓搭箭遥望柳条射去恰好射断柳条
70. 锦袍坠地，徐晃飞取锦袍披于身上
71. 晃骤马至台前声喏曰谢丞相袍
72. 曹操与众官无不称羡，晃才勒马要回
73. 猛然台边跃出一个绿袍将军大呼曰
74. 许褚说你将锦袍那里去早早留下与我
75. 众视之乃许褚也，晃说袍已在此
76. 晃说汝何敢强夺，褚更不回答竟飞马来夺袍
77. 两马相近徐晃便把弓打许褚
78. 褚一手按住弓把徐晃拖离鞍鞒
79. 晃急弃了弓翻身下马，褚亦下马
80. 两个揪住厮打，操急使人解开
81. 那领锦袍已是扯得粉碎，操令二人都上台
82. 徐晃睁眉怒目许褚切齿咬牙各有相斗之意
83. 操笑说孤特视公等之勇耳岂惜一锦袍哉
84. 操便教诸将尽都上台各赐蜀锦一匹
85. 诸将各各称谢，操命各依位次而坐
86. 乐声竞奏水陆并陈，文官武将轮次把盏
87. 献酬交错，操顾谓众文官曰
88. 操说武将既以骑射为乐足显威勇矣
89. 操说公等皆饱学之士登此高台
90. 操说可不进佳章以纪一时之胜事乎
91. 众官皆躬身而言曰愿从钧命
92. 时有王朗钟繇王粲陈琳一班文官进献诗章
93. 诗中多有称颂曹操功德巍巍合当受命之意
94. 曹操逐一览毕笑说诸公佳作过誉甚矣
95. 操说孤本愚陋始举孝廉，后值天下大乱
96. 操说筑精舍于谯东五十里欲春夏读书
97. 操说秋冬射猎以待天下清平方出仕耳
98. 操说不意朝廷徵孤为典军校尉遂更其意
99. 操说专欲为国家讨贼立功图死后得题墓道曰
100. 操说汉故征西将军曹侯之墓平生愿足矣
101. 操念自讨董卓剿黄巾以来除袁术破吕布
102. 操说灭袁绍定刘表遂平天下
103. 操说身为宰相人臣之贵已极又复何望哉
104. 操说如国家无孤一人正不知几人称帝
105. 操说几人称王或见孤权重妄相忖度
106. 操说疑孤有异心此大谬也
107. 操说孤常念孔子称文王之至德此言耿耿在心
108. 操说但欲孤委捐兵众归就所封武平侯之国
109. 操说实不可耳诚恐一解兵柄为人所害
110. 操说孤败则国家倾危是以不得慕虚名而处实祸也
111. 操说诸公必无知孤意者，众皆起拜曰
112. 众说虽伊尹周公不及丞相矣
113. 后人有诗说周公恐惧流言日王莽谦恭下士时
114. 诗说假使当年身便死一生真伪有谁知
115. 曹操连饮数杯不觉沉醉唤左右捧过笔砚
116. 操亦欲作《铜雀台诗》，刚才下笔
117. 忽报东吴使华歆表奏刘备为荆州牧
118. 报说孙权以妹嫁刘备汉上九郡大半已属备矣
119. 操闻之手脚慌乱投笔于地
120. 程昱说丞相在万军之中矢石交攻之际未尝动心

---

## 简要事件列表（8条）

1. **周瑜败归**：周瑜被关黄魏伏击大败，怒极金疮迸裂，回柴桑养病
2. **孙权定计**：孙权欲攻荆州，张昭顾雍劝阻，定计表刘备为荆州牧离间孙刘
3. **铜雀台宴**：曹操大宴铜雀台，武将比箭夺袍，文官献诗颂功
4. **操闻失荆州**：曹操闻刘备得荆州大惊，程昱识破孙权离间计
5. **操封周瑜**：曹操反间计封周瑜为南郡太守，使孙刘相攻
6. **鲁肃讨荆州**：鲁肃奉命讨荆州，玄德大哭，孔明解说两难
7. **假途灭虢**：周瑜定假途灭虢计，假名取川实取荆州
8. **三气周瑜**：孔明识破计策，四路兵马围困周瑜，周瑜怒极坠马

---

## 极简事件列表（7条）

1. **二气后果**：周瑜败归怒极金疮迸裂，孙权欲报仇
2. **离间计**：曹操铜雀台大宴，孙权表刘备为荆州牧离间
3. **操反间**：曹操封周瑜为南郡太守，使孙刘相攻
4. **哭荆州**：鲁肃讨荆州，玄德大哭，孔明解说两难
5. **假途灭虢**：周瑜定计假名取川实取荆州
6. **识破计策**：孔明识破假途灭虢计，准备伏兵
7. **三气成功**：周瑜中计被四路兵马围困，怒极坠马金疮复裂
