# 《史记·齐悼惠王世家第二十二》事件列表

## 详细版（35项）
27. 文帝三年：济北王刘兴居反叛，被柴将军击败，自杀身亡，封地入汉
28. 文帝十六年：封齐悼惠王子刘辟光为济南王，刘贤为菑川王，刘卬为胶西王，刘雄渠为胶东王等
29. 文帝后元七年：齐文王刘则去世，无子，齐国一度被废除
30. 景帝三年：吴楚七国之乱爆发，胶西王、胶东王、济南王、菑川王参与叛乱
31. 景帝三年：齐王刘将闾初有预谋但最终坚守城池，派路中大夫向汉天子求救
32. 景帝三年：路中大夫被三国将领劫持仍坚持传达汉廷已发兵救援的消息，被杀
33. 景帝三年：汉军击败三国叛军，解除齐围，齐孝王刘将闾因最初参与预谋而畏罪自杀
34. 景帝时期：立齐孝王太子刘寿为齐懿王，延续齐国后嗣
35. 武帝时期：齐厉王刘次景因与姐姐纪翁主通奸，被主父偃追查而自杀，齐国最终被废除

## 简化版（6项）
1. 刘肥封齐：刘邦立长庶子刘肥为齐王，食邑七十城，成为汉初最大诸侯国
2. 吕后时期：刘肥献城阳郡避祸，吕后分割齐地封吕氏，刘章借行酒令表达不满
3. 诛灭诸吕：吕后死后，刘襄、刘章、刘兴居等联合大臣诛灭诸吕，刘章亲手斩杀吕产
4. 文帝即位：大臣因齐王母家暴戾，选择迎立代王，刘襄退兵，文帝归还齐地
5. 七国之乱：吴楚反叛时，部分齐王参与叛乱被诛，齐王刘将闾坚守城池后自杀
6. 齐国废绝：齐厉王与姐姐通奸被追查而自杀，无后，齐国最终被废除

## 极简版（5项）
1. 刘肥封齐：刘邦立长庶子刘肥为齐王，建立汉初最大诸侯国
2. 刘章行令：吕后宴会上刘章借军法行酒令，斩杀吕氏族人，展示刘氏力量
3. 诸吕之乱：刘襄、刘章等联合大臣诛灭诸吕，刘章亲手斩杀吕产
4. 七国之乱：吴楚反叛时，部分齐王参与叛乱被诛，齐地进一步分割
5. 齐国废绝：齐厉王因罪自杀，无后，齐国最终被废除

## 场景绘图提示词
1. 齐王献郡：汉代宫廷场景，齐王刘肥向吕后献上城阳郡地图，表情谦卑，吕后端坐正中，鲁元公主站在一侧，背景是富丽堂皇的宫殿。

2. 刘章行酒：吕后宴会场景，朱虚侯刘章身着官服，手持酒令，表情严肃，周围是吕氏宗族成员，其中一人正欲逃席，刘章拔剑相向。

3. 齐王起兵：齐国宫殿外，齐王刘襄正在检阅军队，士兵们排列整齐，军旗猎猎，魏勃、祝午等将领站在刘襄身旁，背景是临淄城的城墙。

4. 路中大夫传信：被围困的临淄城下，路中大夫被三国将领劫持，但仍面朝齐王大声传达汉廷救援消息，表情坚毅，齐王在城楼上焦急观望。

## 人物形象描述
1. 刘肥：刘邦长庶子，身材魁梧，面容忠厚，身着诸侯王服饰，佩戴印绶，眼神中既有威严又略带谨慎，展现出汉初诸侯的气质。

2. 刘章：刘肥之子，年约二十，英气勃勃，身材健壮，身着朱虚侯官服，腰间佩剑，眼神锐利，表情刚毅，展现出将门之后的果敢。

3. 刘襄：刘肥之子，齐哀王，中等身材，面容沉稳，身着齐王服饰，手持符节，目光坚定，给人以领导者的气质和谋略。

4. 魏勃：齐国中尉，精明干练，身材瘦削，身着武官服，表情机警，眼神灵动，展现出智谋之士的特点。

5. 路中大夫：齐国使者，忠诚正直，中等身材，身着使者服饰，手持汉节，表情坚毅，即使被劫持仍坚守使命。

## 历史意义总结
《齐悼惠王世家》记载了汉初齐国的兴衰史，反映了西汉初期政治格局的重要变迁：

1. 同姓封王的政治战略：刘邦大封同姓子弟为王以镇抚天下，齐国作为最大的同姓诸侯国，体现了汉初郡国并行制的特点。

2. 吕后专权与刘氏抗争：刘章等刘氏子弟在吕后专权时期的抗争，展现了汉初政治斗争的复杂性和刘氏宗族的力量。

3. 诸吕之乱的关键角色：刘襄、刘章等在诛灭诸吕过程中的重要作用，揭示了汉初权力转移的关键环节。

4. 七国之乱的深层原因：部分齐王参与吴楚七国之乱，反映了汉初诸侯王国与中央政权之间的矛盾。

5. 诸侯王国的衰落趋势：从齐悼惠王的大封到最终齐国被废除，展示了汉代中央集权不断加强、诸侯王国逐渐衰落的历史趋势。

这些记载不仅补充了《高祖本纪》《吕太后本纪》等主要篇章的内容，也为研究汉初政治制度和诸侯王国的演变提供了重要资料。
