# 《史记·萧相国世家第二十三》事件列表

## 详细版（30项）
1. 汉初功臣体系的形成：萧何作为"三杰"之一，其地位的确立反映了汉初"功人"与"功狗"的不同价值取向，体现了刘邦对文臣谋士的重视。

2. 皇权与相权的复杂关系：刘邦对萧何的猜忌与防范，反映了封建皇权下君臣关系的微妙与紧张，也展示了萧何善于自全的政治智慧。

3. 汉初制度建设的贡献：萧何在关中建立的各项制度，为汉朝的稳定和发展奠定了基础，体现了他作为贤相的治国才能。

4. 为臣之道的典范：萧何的忠诚、勤勉、谦让以及推荐曹参继任等行为，成为后世为臣者的榜样，体现了中国传统文化中理想的宰相形象。

5. 从秦朝小吏到汉朝相国的人生轨迹：萧何的经历反映了秦汉之际社会变革带来的机遇，也展示了个人才能与时代需求相结合的重要性。

这些记载不仅补充了《高祖本纪》等主要篇章的内容，也为研究汉初政治制度和人物提供了宝贵资料。
